,Date,ZeroHours,CompleteBlackoutDays,UnitsConsumed,MaxConsumption,MinConsumption,MaxHour,MeanConsumption,StdDev,DayOfTheWeek,UserName,DB
48,2016-03-21,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkashSahu,DB03 
49,2016-03-22,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkashSahu,DB03 
50,2016-03-23,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkashSahu,DB03 
51,2016-03-24,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday,AkashSahu,DB03 
52,2016-03-25,17,614,0.07,0.01,0.0,00 to 01,0.0029166666666666672,0.0046430562148753645,Friday,AkashSahu,DB03 
53,2016-03-26,20,614,0.04,0.01,0.0,01 to 02,0.0016666666666666668,0.003806934938134405,Saturday,AkashSahu,DB03 
54,2016-03-27,15,614,0.09,0.01,0.0,02 to 03,0.00375,0.004945353550468404,Sunday,AkashSahu,DB03 
55,2016-03-28,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkashSahu,DB03 
56,2016-03-29,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkashSahu,DB03 
57,2016-03-30,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkashSahu,DB03 
58,2016-03-31,13,614,0.11,0.01,0.0,00 to 01,0.0045833333333333325,0.005089773777040514,Thursday,AkashSahu,DB03 
59,2016-01-04,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkashSahu,DB03 
60,2016-02-04,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday,AkashSahu,DB03 
61,2016-03-04,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Friday,AkashSahu,DB03 
62,2016-04-04,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkashSahu,DB03 
63,2016-05-04,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Wednesday,AkashSahu,DB03 
64,2016-06-04,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Saturday,AkashSahu,DB03 
65,2016-07-04,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Monday,AkashSahu,DB03 
66,2016-08-04,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Thursday,AkashSahu,DB03 
67,2016-09-04,12,614,0.14,0.03,0.0,17 to 18,0.005833333333333333,0.007172815023567725,Sunday,AkashSahu,DB03 
68,2016-10-04,12,614,0.14,0.02,0.0,18 to 19,0.005833333333333335,0.006538625481582946,Tuesday,AkashSahu,DB03 
69,2016-11-04,14,614,0.26,0.08,0.0,23 to 24,0.010833333333333334,0.019981875845846923,Friday,AkashSahu,DB03 
70,2016-12-04,11,614,0.55,0.08,0.0,01 to 02,0.02291666666666667,0.02985168652531708,Sunday,AkashSahu,DB03 
71,2016-04-13,11,614,0.5700000000000001,0.08,0.0,02 to 03,0.023750000000000004,0.02794598827863429,Wednesday,AkashSahu,DB03 
72,2016-04-14,12,614,0.5900000000000001,0.08,0.0,02 to 03,0.02458333333333334,0.03134370010435724,Thursday,AkashSahu,DB03 
73,2016-04-15,15,614,0.37,0.08,0.0,02 to 03,0.015416666666666669,0.02620639926275336,Friday,AkashSahu,DB03 
74,2016-04-16,18,614,0.06,0.01,0.0,02 to 03,0.0025,0.004423258684646914,Saturday,AkashSahu,DB03 
75,2016-04-17,17,614,0.07,0.01,0.0,01 to 02,0.0029166666666666672,0.0046430562148753645,Sunday,AkashSahu,DB03 
76,2016-04-18,14,614,0.1,0.01,0.0,00 to 01,0.004166666666666668,0.00503610155185335,Monday,AkashSahu,DB03 
77,2016-04-19,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkashSahu,DB03 
78,2016-04-20,19,614,0.05,0.01,0.0,00 to 01,0.0020833333333333333,0.004148511169990532,Wednesday,AkashSahu,DB03 
79,2016-04-25,14,614,0.1,0.01,0.0,14 to 15,0.004166666666666668,0.00503610155185335,Monday,AkashSahu,DB03 
80,2016-04-26,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Tuesday,AkashSahu,DB03 
81,2016-04-27,11,614,0.13,0.01,0.0,00 to 01,0.005416666666666666,0.005089773777040516,Wednesday,AkashSahu,DB03 
82,2016-04-28,9,614,0.15000000000000002,0.01,0.0,00 to 01,0.00625,0.004945353550468402,Thursday,AkashSahu,DB03 
83,2016-04-29,9,614,0.15000000000000002,0.01,0.0,00 to 01,0.00625,0.0049453535504684005,Friday,AkashSahu,DB03 
84,2016-04-30,3,614,0.21,0.01,0.0,00 to 01,0.008750000000000003,0.003378319623460881,Saturday,AkashSahu,DB03 
85,2016-01-05,12,614,0.12,0.01,0.0,00 to 01,0.004999999999999999,0.0051075391845524926,Tuesday,AkashSahu,DB03 
86,2016-02-05,8,614,0.16,0.01,0.0,00 to 01,0.006666666666666667,0.004815434123430769,Friday,AkashSahu,DB03 
87,2016-03-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Saturday,AkashSahu,DB03 
88,2016-04-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Tuesday,AkashSahu,DB03 
89,2016-05-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Thursday,AkashSahu,DB03 
90,2016-06-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Sunday,AkashSahu,DB03 
91,2016-07-05,10,614,0.14,0.01,0.0,00 to 01,0.005833333333333333,0.00503610155185335,Tuesday,AkashSahu,DB03 
